SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
COLPAL,EQ,04-Apr-2018,1085.00,1086.00,1097.00,1077.05,1092.80,1091.40,1090.00,303460,3307.73,7077,196023,64.60
COMPINFO,EQ,04-Apr-2018,44.40,45.60,46.00,42.55,44.00,44.00,44.51,80426,35.80,659,44357,55.15
COMPUSOFT,EQ,04-Apr-2018,11.80,12.10,12.35,12.00,12.35,12.35,12.31,28100,3.46,60,27600,98.22
CONCOR,EQ,04-Apr-2018,1263.65,1264.95,1277.40,1217.00,1240.00,1244.65,1245.30,258295,3216.56,11995,109655,42.45
CONSOFINVT,EQ,04-Apr-2018,66.50,66.65,67.05,64.10,65.05,65.75,66.51,5826,3.87,38,4600,78.96
CONTI,ST,04-Apr-2018,26.00,26.00,27.30,24.70,,25.75,25.94,360000,93.37,90,-,-
CONTROLPR,EQ,04-Apr-2018,457.25,454.95,467.00,440.10,440.50,443.35,456.36,5235,23.89,283,3017,57.63
CORALFINAC,EQ,04-Apr-2018,32.45,33.80,33.80,31.95,32.00,32.05,32.61,90084,29.38,476,50707,56.29
CORDSCABLE,EQ,04-Apr-2018,83.35,83.50,85.45,80.50,80.85,81.30,83.10,13958,11.60,197,10539,75.51
COROMANDEL,EQ,04-Apr-2018,535.70,536.10,544.45,525.00,534.00,530.35,532.57,80007,426.10,2667,33142,41.42
CORPBANK,EQ,04-Apr-2018,31.40,31.65,31.90,30.55,30.65,30.80,31.23,329453,102.88,1144,151805,46.08
COSMOFILMS,EQ,04-Apr-2018,277.70,277.10,282.95,267.00,268.00,268.90,275.80,83211,229.49,2191,51781,62.23
COUNCODOS,EQ,04-Apr-2018,3.15,3.10,3.25,3.05,3.15,3.15,3.11,35257,1.10,26,30056,85.25
COX&KINGS,EQ,04-Apr-2018,233.55,234.90,238.45,232.00,233.70,233.55,235.59,84643,199.41,1999,27179,32.11
CPSEETF,EQ,04-Apr-2018,28.02,27.86,28.09,27.70,27.81,27.79,27.95,908242,253.86,995,740166,81.49
CREST,EQ,04-Apr-2018,196.55,198.35,201.90,190.10,191.15,191.85,198.01,9647,19.10,275,5212,54.03
CRISIL,EQ,04-Apr-2018,1841.35,1853.00,1888.00,1844.05,1887.00,1870.40,1867.14,38343,715.92,1992,36183,94.37
CRMFGETF,EQ,04-Apr-2018,2860.00,2860.00,2885.00,2860.00,2885.00,2885.00,2879.88,202,5.82,6,202,100.00
CROMPTON,EQ,04-Apr-2018,231.80,232.70,234.60,228.00,228.00,229.30,230.67,243229,561.05,7946,119075,48.96
CROWN,SM,04-Apr-2018,79.00,75.05,75.05,75.05,75.05,75.05,75.05,1000,0.75,1,1000,100.00
CTE,EQ,04-Apr-2018,65.45,66.75,66.75,64.15,64.15,64.20,64.70,20150,13.04,126,16702,82.89
CUB,EQ,04-Apr-2018,178.00,178.00,181.00,175.40,180.00,179.70,178.74,475216,849.38,12138,310328,65.30
CUBEXTUB,BE,04-Apr-2018,18.90,18.20,19.70,18.20,18.30,18.30,18.40,14213,2.61,15,-,-
CUMMINSIND,EQ,04-Apr-2018,740.20,744.00,754.40,731.95,732.00,735.35,743.69,428216,3184.59,24279,229552,53.61
CUPID,EQ,04-Apr-2018,241.70,243.60,290.00,241.70,290.00,290.00,281.20,377887,1062.63,6626,115269,30.50
CYBERMEDIA,BE,04-Apr-2018,11.85,12.00,12.40,11.30,12.40,12.40,11.60,290,0.03,5,-,-
CYBERTECH,EQ,04-Apr-2018,65.15,67.00,67.80,63.00,65.00,65.35,65.48,21290,13.94,236,14666,68.89
CYIENT,EQ,04-Apr-2018,680.60,680.75,684.00,646.60,646.60,655.80,666.19,284420,1894.77,9614,218605,76.86
DAAWAT,EQ,04-Apr-2018,90.20,90.75,92.90,88.15,88.25,88.40,90.49,894616,809.52,6537,401546,44.88
DABUR,EQ,04-Apr-2018,337.70,338.00,341.50,334.00,335.00,335.50,338.94,1407850,4771.76,38528,925344,65.73
DALMIABHA,EQ,04-Apr-2018,2870.10,2884.95,2937.65,2856.45,2892.80,2896.70,2912.11,108713,3165.84,6823,34717,31.93
DALMIASUG,EQ,04-Apr-2018,67.95,68.50,70.65,67.60,68.10,68.35,69.15,134128,92.74,1273,72562,54.10
DAMODARIND,EQ,04-Apr-2018,132.25,137.00,137.00,129.50,131.25,130.05,131.90,12726,16.79,239,7097,55.77
DATAMATICS,EQ,04-Apr-2018,108.75,108.50,111.90,108.10,108.50,108.45,110.16,85832,94.55,1348,38406,44.75
DBCORP,EQ,04-Apr-2018,312.45,314.50,320.65,311.00,312.15,313.30,315.81,15612,49.30,752,7409,47.46
DBL,EQ,04-Apr-2018,1156.80,1167.25,1171.75,1111.00,1120.00,1118.35,1135.13,394227,4474.99,15876,159567,40.48
DBREALTY,EQ,04-Apr-2018,50.75,51.90,53.25,49.45,53.25,52.50,52.49,1175199,616.91,3295,440647,37.50
DCAL,EQ,04-Apr-2018,311.00,315.90,320.95,310.00,314.00,314.60,314.71,147203,463.26,2606,116111,78.88
DCBBANK,EQ,04-Apr-2018,168.40,171.35,171.35,164.70,165.95,166.20,168.13,1496578,2516.22,10090,203665,13.61
DCM,EQ,04-Apr-2018,95.90,95.90,96.95,94.50,94.50,94.85,95.38,11876,11.33,246,8172,68.81
DCMSHRIRAM,EQ,04-Apr-2018,464.00,468.40,470.00,452.05,461.95,458.95,463.58,112061,519.50,4158,37014,33.03
DCW,EQ,04-Apr-2018,33.80,34.60,35.25,32.80,33.25,33.10,33.73,800985,270.18,2043,427768,53.41
DECCANCE,EQ,04-Apr-2018,513.05,515.00,519.90,510.00,510.00,510.85,515.06,3713,19.12,169,2828,76.16
DEEPAKFERT,EQ,04-Apr-2018,301.65,304.40,331.90,300.25,301.00,304.20,320.04,1439262,4606.18,22332,412812,28.68
DEEPAKNTR,EQ,04-Apr-2018,260.90,265.20,266.90,253.55,255.05,254.90,260.26,220833,574.73,7359,116244,52.64
DEEPIND,EQ,04-Apr-2018,159.60,160.20,167.65,157.50,158.80,158.10,162.66,99458,161.78,2005,47915,48.18
DELTACORP,EQ,04-Apr-2018,276.60,279.30,287.40,273.25,278.00,276.70,281.40,9397739,26445.24,91052,1640659,17.46
DEN,EQ,04-Apr-2018,103.95,104.10,106.40,102.20,104.10,103.90,103.87,286344,297.42,6477,183364,64.04
DENABANK,EQ,04-Apr-2018,19.50,19.70,19.95,19.25,19.50,19.45,19.58,1153683,225.94,3352,450770,39.07
DENORA,BE,04-Apr-2018,440.45,448.80,458.70,430.50,435.00,436.50,440.58,6034,26.58,261,-,-
DFMFOODS,EQ,04-Apr-2018,1429.30,1430.00,1469.00,1420.00,1420.00,1423.15,1448.15,616,8.92,138,350,56.82
