,timestamp,open,high,low,close,volume
0,2018-04-04,87.85,89.3,87.73,88.87,8194413
1,2018-04-03,89.575,90.05,87.89,89.71,37188251
2,2018-04-02,90.47,90.88,87.51,88.52,48515417
3,2018-03-29,90.18,92.29,88.4,91.27,45867548
4,2018-03-28,89.82,91.23,88.873,89.39,52501146
5,2018-03-27,94.94,95.139,88.51,89.47,53704562
6,2018-03-26,90.61,94.0,90.4,93.78,55031149
7,2018-03-23,89.5,90.46,87.08,87.18,42159397
8,2018-03-22,91.265,91.75,89.66,89.79,37578166
9,2018-03-21,92.93,94.05,92.21,92.48,23753263
10,2018-03-20,93.05,93.77,93.0,93.13,21787780
11,2018-03-19,93.74,93.9,92.11,92.89,31752589
12,2018-03-16,94.68,95.38,93.92,94.6,47329521
13,2018-03-15,93.53,94.58,92.83,94.18,26279014
14,2018-03-14,95.12,95.41,93.5,93.85,31576898
15,2018-03-13,97.0,97.24,93.97,94.41,34445391
16,2018-03-12,96.5,97.21,96.04,96.77,25333720
17,2018-03-09,95.29,96.54,95.0,96.54,36145524
18,2018-03-08,94.27,95.1,93.765,94.43,24861307
19,2018-03-07,93.16,93.9406,92.43,93.86,26716127
20,2018-03-06,94.34,94.49,92.941,93.32,22175776
21,2018-03-05,92.34,94.27,92.26,93.64,23901578
22,2018-03-02,91.58,93.15,90.86,93.05,32830389
23,2018-03-01,93.99,94.57,91.84,92.85,37135561
24,2018-02-28,94.84,95.705,93.63,93.77,29314525
25,2018-02-27,95.74,95.84,94.2,94.2,25540755
26,2018-02-26,94.4,95.45,94.25,95.42,29760276
27,2018-02-23,92.75,94.07,92.36,94.06,25779955
28,2018-02-22,92.05,92.73,91.36,91.73,22723756
29,2018-02-21,92.98,93.3595,91.49,91.49,26081953
30,2018-02-20,91.475,93.06,91.01,92.72,30107057
31,2018-02-16,92.45,93.5,91.8,92.0,30188535
32,2018-02-15,91.21,92.72,90.62,92.66,27407914
33,2018-02-14,88.51,90.99,88.41,90.81,34314101
34,2018-02-13,88.93,90.0,87.8,89.83,26200053
35,2018-02-12,88.735,89.78,87.9295,89.13,35501368
36,2018-02-09,86.3,88.93,83.83,88.18,57408480
37,2018-02-08,89.71,89.875,84.76,85.01,47485202
38,2018-02-07,90.49,91.77,89.2,89.61,40340551
39,2018-02-06,86.89,91.475,85.25,91.33,66157030
40,2018-02-05,90.56,93.24,88.0,88.0,42253469
41,2018-02-02,93.64,93.97,91.5,91.78,47076959
42,2018-02-01,94.79,96.07,93.5813,94.26,46645657
43,2018-01-31,93.75,95.4,93.51,95.01,44284284
44,2018-01-30,93.3,93.66,92.1,92.74,34153798
45,2018-01-29,95.14,95.45,93.72,93.92,30409620
46,2018-01-26,93.12,94.06,92.58,94.06,26348999
47,2018-01-25,92.465,93.24,91.93,92.33,23983094
48,2018-01-24,92.55,93.43,91.58,91.82,32107765
49,2018-01-23,91.9,92.3,91.54,91.9,22283365
50,2018-01-22,90.0,91.62,89.74,91.61,23190700
